,directorio,secuencia_p,HHincome,fex,hhsize
7697,7317960,1,3869000.0,835.3564758300781,11
17314,7329564,1,6340000.0,303.9773864746094,11
46532,7363434,1,7658318.0,2586.3563690185547,11
93838,7418376,1,7940000.0,36.04721188545227,11
107468,7434144,1,7500000.0,450.42021560668945,11
110791,7438259,1,3287000.0,257.79388999938965,11
121731,7450594,1,8144916.5,358.3659210205078,11
126310,7455901,1,7107500.0,622.0288848876953,11
150267,7483907,1,3600000.0,61.87695646286011,11
206074,7549027,1,6100000.0,420.53868103027344,11
223174,7569009,1,5832583.5,298.31283378601074,11
